tmdb_id,discogs_id,tmdb_title,discogs_title,tmdb_year,discogs_year,token_score,partial_score,hybrid_score,year_diff
,,apocalypse now,carmine coppola francis coppola apocalypse now,1979.0,1979.0,46.666666666666664,100.0,62.67,0.0
,,apocalypse now,carmine coppola francis coppola apocalypse now,1979.0,1979.0,46.666666666666664,100.0,62.67,0.0
,,apocalypse now,carmine coppola francis coppola apocalypse now,1979.0,1979.0,46.666666666666664,100.0,62.67,0.0
,,apocalypse now,carmine coppola francis coppola apocalypse now,1979.0,1979.0,46.666666666666664,100.0,62.67,0.0
,,apocalypse now,carmine coppola francis coppola apocalypse now,1979.0,,46.666666666666664,100.0,62.67,
,,zombie apocalypse now zombie hunter,carmine coppola francis coppola apocalypse now,2008.0,,49.382716049382715,60.37735849056604,52.68,
,,apocalypse now now,carmine coppola francis coppola apocalypse now,2017.0,,53.125,87.5,63.44,
,,daliso chaponda apocalypse not now,carmine coppola francis coppola apocalypse now,2020.0,,60.0,74.57627118644068,64.37,
,,dutch angle chas gerretsen apocalypse now,carmine coppola francis coppola apocalypse now,2019.0,,50.57471264367817,58.62068965517242,52.99,
,,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979.0,69.47368421052632,53.52112676056338,64.69,
,,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979.0,69.47368421052632,53.52112676056338,64.69,
,,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979.0,69.47368421052632,53.52112676056338,64.69,
,,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,1979.0,69.47368421052632,53.52112676056338,64.69,
,,short cuts apocalypse now de francis ford coppola,carmine coppola francis coppola apocalypse now,,,69.47368421052632,53.52112676056338,64.69,
,,aquaman,rupert gregson williams aquaman,2018.0,2018.0,36.8421052631579,100.0,55.79,0.0
,,aquaman,rupert gregson williams aquaman,2018.0,2018.0,36.8421052631579,100.0,55.79,0.0
,,aquaman,danny elfman justice league,2018.0,2017.0,23.529411764705888,42.85714285714286,29.33,1.0
,,aquaman,danny elfman justice league,2016.0,2017.0,23.529411764705888,42.85714285714286,29.33,1.0
,,aquaman heroines of atlantis,rupert gregson williams aquaman,2019.0,2018.0,47.45762711864406,40.0,45.22,1.0
,,aquaman heroines of atlantis,rupert gregson williams aquaman,2019.0,2018.0,47.45762711864406,40.0,45.22,1.0
,,lego dc comics super heroes aquaman rage of atlantis,rupert gregson williams aquaman,2018.0,2018.0,43.37349397590361,51.61290322580645,45.85,0.0
,,lego dc comics super heroes aquaman rage of atlantis,rupert gregson williams aquaman,2018.0,2018.0,43.37349397590361,51.61290322580645,45.85,0.0
,,lego dc comics super heroes aquaman rage of atlantis,danny elfman justice league,2018.0,2017.0,43.0379746835443,39.13043478260869,41.87,1.0
,,going deep into the world of aquaman,rupert gregson williams aquaman,2019.0,2018.0,50.74626865671642,51.85185185185186,51.08,1.0
,,going deep into the world of aquaman,rupert gregson williams aquaman,2019.0,2018.0,50.74626865671642,51.85185185185186,51.08,1.0
,,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2018.0,50.0,36.8421052631579,46.05,
,,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2021.0,50.0,36.8421052631579,46.05,
,,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2018.0,50.0,36.8421052631579,46.05,
,,aquaman es az elveszett kiralysag,rupert gregson williams aquaman,,2021.0,50.0,36.8421052631579,46.05,
,,aquaman es az elveszett kiralysag,danny elfman justice league,,2017.0,40.0,42.85714285714286,40.86,
,,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015.0,2015.0,63.76811594202898,100.0,74.64,0.0
,,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015.0,2015.0,63.76811594202898,100.0,74.64,0.0
,,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015.0,2015.0,63.76811594202898,100.0,74.64,0.0
,,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015.0,2015.0,63.76811594202898,100.0,74.64,0.0
,,avengers age of ultron,brian tyler danny elfman avengers age of ultron,2015.0,2015.0,63.76811594202898,100.0,74.64,0.0
,,avatar,james horner avatar,2009.0,2009.0,48.0,100.0,63.6,0.0
,,avatar the way of water,various avatar the way of water,2022.0,2023.0,85.18518518518519,100.0,89.63,1.0
,,my avatar and me,james horner avatar,2010.0,2009.0,57.14285714285714,60.86956521739131,58.26,1.0
,,avatar creating the world of pandora,james horner avatar,2010.0,2009.0,43.63636363636364,48.0,44.95,1.0
,,avatara purusha,various avatar the way of water,2024.0,2023.0,47.82608695652174,60.0,51.48,1.0
,,avatar scene deconstruction,james horner avatar,2009.0,2009.0,52.17391304347826,48.0,50.92,0.0
,,gal avatar,james horner avatar,2010.0,2009.0,55.172413793103445,82.35294117647058,63.33,1.0
,,avataro sentai donbrothers the movie new first love hero,various avatar the way of water,2022.0,2023.0,45.97701149425287,50.0,47.18,1.0
,,avatar spirits,james horner avatar,2010.0,2009.0,54.54545454545454,60.0,56.18,1.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2016.0,2016.0,43.75,100.0,60.62,0.0
,,arrival,johann johannsson arrival,2025.0,2024.0,43.75,100.0,60.62,1.0
,,arrival,johann johannsson arrival,2025.0,2024.0,43.75,100.0,60.62,1.0
,,arrival,johann johannsson arrival,2025.0,2024.0,43.75,100.0,60.62,1.0
,,arrival,johann johannsson arrival,2017.0,2016.0,43.75,100.0,60.62,1.0
,,arrival,johann johannsson arrival,2017.0,2016.0,43.75,100.0,60.62,1.0
,,arrival,johann johannsson arrival,2017.0,2016.0,43.75,100.0,60.62,1.0
,,arrival,johann johannsson arrival,2017.0,2016.0,43.75,100.0,60.62,1.0
,,arrival of the ninety nine at musqueam,johann johannsson arrival,2023.0,2024.0,47.61904761904761,43.75,46.46,1.0
,,avengers infinity war,alan silvestri avengers infinity war,2018.0,2018.0,73.6842105263158,100.0,81.58,0.0
,,avengers infinity war,alan silvestri avengers infinity war,2018.0,2018.0,73.6842105263158,100.0,81.58,0.0
,,avengers infinity war,alan silvestri avengers infinity war,2018.0,2018.0,73.6842105263158,100.0,81.58,0.0
,,avengers endgame,alan silvestri avengers infinity war,2019.0,2018.0,42.307692307692314,62.5,48.37,1.0
,,avengers endgame,alan silvestri avengers infinity war,2019.0,2018.0,42.307692307692314,62.5,48.37,1.0
,,avengers endgame,alan silvestri avengers infinity war,2019.0,2020.0,42.307692307692314,62.5,48.37,1.0
,,avengers endgame,alan silvestri avengers infinity war,2019.0,2018.0,42.307692307692314,62.5,48.37,1.0
,,baby driver,various baby driver,2017.0,2017.0,73.33333333333334,100.0,81.33,0.0
,,baby driver,various baby driver,2017.0,2017.0,73.33333333333334,100.0,81.33,0.0
,,baby driver,various baby driver,2017.0,2017.0,73.33333333333334,100.0,81.33,0.0
,,baby driver,various baby driver,2017.0,2017.0,73.33333333333334,100.0,81.33,0.0
,,baby driver,various baby driver volume the for,2017.0,2018.0,48.88888888888889,100.0,64.22,1.0
,,baby driver cartoon bellbottoms,various baby driver,,2017.0,43.99999999999999,73.33333333333334,52.8,
,,baby driver cartoon bellbottoms,various baby driver,,2017.0,43.99999999999999,73.33333333333334,52.8,
,,baby driver cartoon bellbottoms,various baby driver,,2017.0,43.99999999999999,73.33333333333334,52.8,
,,baby driver cartoon bellbottoms,various baby driver,,2017.0,43.99999999999999,73.33333333333334,52.8,
,,baby driver cartoon bellbottoms,various baby driver volume the for,,2018.0,46.15384615384615,56.14035087719298,49.15,
,,baby driver,various baby driver,,2017.0,73.33333333333334,100.0,81.33,
,,baby driver,various baby driver,,2017.0,73.33333333333334,100.0,81.33,
,,baby driver,various baby driver,,2017.0,73.33333333333334,100.0,81.33,
,,baby driver,various baby driver,,2017.0,73.33333333333334,100.0,81.33,
,,baby driver,various baby driver volume the for,,2018.0,48.88888888888889,100.0,64.22,
,,back to the future part ii,alan silvestri back to the future part ii,1989.0,1990.0,77.61194029850746,100.0,84.33,1.0
,,back to the future part ii,alan silvestri back to the future iii,1989.0,1990.0,73.01587301587303,87.5,77.36,1.0
,,back to the future part iii,alan silvestri back to the future part ii,1990.0,1990.0,76.47058823529412,98.11320754716981,82.96,0.0
,,back to the future part iii,alan silvestri back to the future iii,1990.0,1990.0,75.0,89.79591836734694,79.44,0.0
,,back to the future behind the scenes special presentation,alan silvestri back to the future part ii,1989.0,1990.0,55.10204081632652,63.33333333333333,57.57,1.0
,,back to the future behind the scenes special presentation,alan silvestri back to the future iii,1989.0,1990.0,53.191489361702125,67.85714285714286,57.59,1.0
,,back to the future,various back to the future,1985.0,1985.0,81.81818181818181,100.0,87.27,0.0
,,back to the future,various back to the future,1985.0,1985.0,81.81818181818181,100.0,87.27,0.0
,,back to the future part ii,alan silvestri back to the future iii,1989.0,1990.0,73.01587301587303,87.5,77.36,1.0
,,back to the future part ii,alan silvestri back to the future ii,1989.0,1989.0,74.19354838709677,89.36170212765957,78.74,0.0
,,looking back to the future raymond loewy industrial designer,various back to the future,1985.0,1985.0,44.18604651162791,76.92307692307692,54.01,0.0
,,looking back to the future raymond loewy industrial designer,various back to the future,1985.0,1985.0,44.18604651162791,76.92307692307692,54.01,0.0
,,back to the future part iii,alan silvestri back to the future iii,1990.0,1990.0,75.0,89.79591836734694,79.44,0.0
,,back to the future part iii,alan silvestri back to the future ii,1990.0,1989.0,73.01587301587303,87.5,77.36,1.0
,,making of back to the future,various back to the future,1986.0,1985.0,66.66666666666667,85.1063829787234,72.2,1.0
,,making of back to the future,various back to the future,1986.0,1985.0,66.66666666666667,85.1063829787234,72.2,1.0
,,back to the future the ride,alan silvestri back to the future iii,1991.0,1990.0,68.75,81.63265306122449,72.61,1.0
,,project 88 back to the future too,various the back to the future,2020.0,2021.0,69.84126984126983,74.57627118644068,71.26,1.0
