movie_ref,tmdb_title_norm,discogs_title_norm,tmdb_year,discogs_year,tmdb_genre,discogs_genre,discogs_style,hybrid_score
Amélie,amelie,yann tiersen amelie,2001,,"35, 10749","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,amelie,yann tiersen amelie,2001,,"35, 10749","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",63.6
Amélie,amelie,yann tiersen amelie,2001,,"35, 10749","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,amelie,yann tiersen amelie,2021,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,amelie,yann tiersen amelie,2021,,,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",63.6
Amélie,amelie,yann tiersen amelie,2021,,,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",63.6
Amélie,little amelie or the character of rain,yann tiersen amelie,2025,,"16, 18, 10751","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",51.26
Amélie,little amelie or the character of rain,yann tiersen amelie,2025,,"16, 18, 10751","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",51.26
Amélie,little amelie or the character of rain,yann tiersen amelie,2025,,"16, 18, 10751","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",51.26
Amélie,amelie the real story,yann tiersen amelie,2023,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",52.9
Amélie,amelie the real story,yann tiersen amelie,2023,,35,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",52.9
Amélie,amelie the real story,yann tiersen amelie,2023,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",52.9
Amélie,romance with amelie,yann tiersen amelie,1982,,18,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",55.7
Amélie,romance with amelie,yann tiersen amelie,1982,,18,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",55.7
Amélie,romance with amelie,yann tiersen amelie,1982,,18,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",55.7
Amélie,take care of amelie,yann tiersen amelie,1932,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",60.53
Amélie,take care of amelie,yann tiersen amelie,1932,,35,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",60.53
Amélie,take care of amelie,yann tiersen amelie,1932,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",60.53
Amélie,amelie or the time to love,yann tiersen amelie,1961,,18,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",48.62
Amélie,amelie or the time to love,yann tiersen amelie,1961,,18,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",48.62
Amélie,amelie or the time to love,yann tiersen amelie,1961,,18,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",48.62
Amélie,amelie au pays des bodin,yann tiersen amelie,2010,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",53.47
Amélie,amelie au pays des bodin,yann tiersen amelie,2010,,35,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",53.47
Amélie,amelie au pays des bodin,yann tiersen amelie,2010,,35,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",53.47
Amélie,amelie oudea castera jeux decisifs,yann tiersen amelie,2025,,99,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",51.38
Amélie,amelie oudea castera jeux decisifs,yann tiersen amelie,2025,,99,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",51.38
Amélie,amelie oudea castera jeux decisifs,yann tiersen amelie,2025,,99,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",51.38
Amélie,capitaine casta amelie disparu,yann tiersen amelie,2007,,"80, 18, 9648, 10770","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",54.51
Amélie,capitaine casta amelie disparu,yann tiersen amelie,2007,,"80, 18, 9648, 10770","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",54.51
Amélie,capitaine casta amelie disparu,yann tiersen amelie,2007,,"80, 18, 9648, 10770","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",54.51
Amélie,mountain miracle,yann tiersen amelie,2017,,"10751, 12","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",43.0
Amélie,mountain miracle,yann tiersen amelie,2017,,"10751, 12","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",43.0
Amélie,mountain miracle,yann tiersen amelie,2017,,"10751, 12","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",43.0
Amélie,liebe amelie,yann tiersen amelie,2005,,"18, 10770","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",68.02
Amélie,liebe amelie,yann tiersen amelie,2005,,"18, 10770","Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",68.02
Amélie,liebe amelie,yann tiersen amelie,2005,,"18, 10770","Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",68.02
Amélie,amelie nothomb une vie entre deux eaux,yann tiersen amelie,2012,,99,"Pop, Classical, Stage & Screen","Soundtrack, Chanson, Neo-Classical",46.33
Amélie,amelie nothomb une vie entre deux eaux,yann tiersen amelie,2012,,99,"Electronic, Pop, Stage & Screen","Modern Classical, Chanson, Soundtrack",46.33
