movie_ref,discogs_title_norm,tmdb_title_norm,discogs_year,tmdb_year,discogs_genre,tmdb_genre,discogs_style,score
Black Hawk Down,hans zimmer black hawk down,black hawk down,,1997,"Electronic, Rock, Stage & Screen",,"Soundtrack, Modern Classical, Ambient",90.0
Black Hawk Down,hans zimmer black hawk down,black hawk down,2001,2001,"Electronic, Rock, Stage & Screen",,"Soundtrack, Modern Classical, Ambient",90.0
Black Hawk Down,hans zimmer black hawk down,black hawk down,2002,2001,"Electronic, Rock, Stage & Screen",,"Score, Modern Classical, Ambient",90.0
Black Hawk Down,hans zimmer black hawk down,black hawk down,,2001,"Electronic, Rock, Stage & Screen",,"Soundtrack, Modern Classical, Ambient",90.0
Black Hawk Down,hans zimmer black hawk down,black hawk down,,1997,"Electronic, Rock, Stage & Screen",,"Soundtrack, Modern Classical, Ambient",90.0
Black Panther,ludwig goransson black panther,black panther,2018,2018,Stage & Screen,,Score,90.0
Black Panther,ludwig goransson black panther,real black panther,2018,2020,Stage & Screen,,Score,85.5
Black Panther,ludwig goransson black panther,black panther,2019,2018,"Hip Hop, Folk, World, & Country, Stage & Screen",,"African, Instrumental, Score, Trap",90.0
Black Panther,ludwig goransson black panther,real black panther,2019,2020,"Hip Hop, Folk, World, & Country, Stage & Screen",,"African, Instrumental, Score, Trap",85.5
Black Panther,various black panther the album,black panther,2018,2018,"Hip Hop, Funk / Soul, Stage & Screen",,,90.0
Black Panther,various black panther the album,real black panther,2018,2020,"Hip Hop, Funk / Soul, Stage & Screen",,,85.5
Black Panther,ludwig goransson black panther,black panther,2018,2018,Stage & Screen,,Score,90.0
Black Panther,ludwig goransson black panther,real black panther,2018,2020,Stage & Screen,,Score,85.5
Black Panther,ludwig goransson black panther,black panther,2019,2018,"Hip Hop, Folk, World, & Country, Stage & Screen",,"African, Instrumental, Score, Trap",90.0
Black Panther,ludwig goransson black panther,real black panther,2019,2020,"Hip Hop, Folk, World, & Country, Stage & Screen",,"African, Instrumental, Score, Trap",85.5
Black Panther,various black panther the album,black panther,2018,2018,"Hip Hop, Funk / Soul, Stage & Screen",,,90.0
Black Panther,various black panther the album,real black panther,2018,2020,"Hip Hop, Funk / Soul, Stage & Screen",,,85.5
Blade Runner,vangelis blade runner,oscar pistorius blade runner killer,2015,2017,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,blade runner the aquarelle edition,2015,2013,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,blade runner do androids dream of electronic beats,2015,2017,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2015,,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,blade runner the aquarelle edition,2013,2013,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2013,,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,blade runner the aquarelle edition,2013,2013,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2013,,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,oscar pistorius blade runner killer,2017,2017,"Electronic, Jazz, Stage & Screen",,"Score, Ambient",85.5
Blade Runner,vangelis blade runner,blade runner do androids dream of electronic beats,2017,2017,"Electronic, Jazz, Stage & Screen",,"Score, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2017,,"Electronic, Jazz, Stage & Screen",,"Score, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,1994,,"Electronic, Jazz, Stage & Screen",,"Score, Ambient, Soundtrack",85.5
Blade Runner,vangelis blade runner,oscar pistorius blade runner killer,2015,2017,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,blade runner the aquarelle edition,2015,2013,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,blade runner do androids dream of electronic beats,2015,2017,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2015,,"Electronic, Stage & Screen",,"Ambient, Soundtrack, Score",85.5
Blade Runner,vangelis blade runner,blade runner the aquarelle edition,2013,2013,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2013,,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,blade runner the aquarelle edition,2013,2013,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2013,,"Electronic, Jazz, Stage & Screen",,"Score, Soundtrack, Ambient",85.5
Blade Runner,vangelis blade runner,oscar pistorius blade runner killer,2017,2017,"Electronic, Jazz, Stage & Screen",,"Score, Ambient",85.5
Blade Runner,vangelis blade runner,blade runner do androids dream of electronic beats,2017,2017,"Electronic, Jazz, Stage & Screen",,"Score, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,2017,,"Electronic, Jazz, Stage & Screen",,"Score, Ambient",85.5
Blade Runner,vangelis blade runner,short cuts blade runner de ridley scott,1994,,"Electronic, Jazz, Stage & Screen",,"Score, Ambient, Soundtrack",85.5
Blade Runner 2049,hans zimmer benjamin wallfisch blade runner 2049,blade runner 2049,2017,2017,"Electronic, Rock, Stage & Screen",,"Score, Soundtrack, Ambient, Dark Ambient, Industrial",90.0
Blade Runner 2049,hans zimmer and benjamin wallfisch blade runner 2049,blade runner 2049,2019,2017,"Electronic, Stage & Screen",,"Dark Ambient, Soundtrack, Score",90.0
